Issue Type,Issue Key,Summary,Description,Epic Link,Parent,Story Points,Priority,Labels,Components,Sprint
Story,S4-1,Implement signed_flow_score from UW data,"AS a developer
I WANT a normalized signed_flow_score computed per ticker per minute
SO THAT downstream rules consume canonical flow strength.

ACCEPTANCE CRITERIA:
- net_signed_premium_30m = call_buy_premium - put_buy_premium - call_sell_premium + put_sell_premium
- normalize per-ticker via 30d trailing premium scale
- ask_side_pct_30m: fraction of premium hitting ask
- sweep_count_30m: number of sweep-tagged orders
- signed_flow_score = z_score combination, normalized in [-1, +1]",S4-E1,,5,Medium,,"features,future-s4",
Sub-task,S4-1.1,Pull and aggregate UW flow-recent over rolling 30m,Use FND-3.2 client. Cache and roll forward.,,S4-1,2,Medium,,,
Sub-task,S4-1.2,Per-ticker normalization,30d trailing premium for normalization scale.,,S4-1,2,Medium,,,
Sub-task,S4-1.3,Combine into signed_flow_score,Initial weights from spec; refine via S4-1 backtest later.,,S4-1,1,Medium,,,
Test,S4-1.T1,TEST: pure call buy accumulation produces +1,"Synthetic ticker: 100% premium = call buys at ask, with sweeps. signed_flow_score >= 0.85.",,S4-1,,Medium,,tests,
Test,S4-1.T2,TEST: balanced flow produces near 0,"Equal call buys and put buys. signed_flow_score in [-0.10, +0.10].",,S4-1,,Medium,,tests,
Story,S4-2,Implement is_s4_setup() — Strong directional flow gate,"AS a developer
I WANT a setup gate when signed_flow_score crosses +/-0.65 with confirming structure
SO THAT S4 only fires on genuinely strong directional flow.

ACCEPTANCE CRITERIA:
- abs(signed_flow_score) >= 0.65
- price_aligned_with_flow: price up if flow > 0, price down if flow < 0 (over last 30m)
- not_at_extreme_iv: IV percentile < 80
- gex_proximity_check: NOT within 0.5 ATR of major +GEX strike
- earnings_blackout = False
- daily_relative_volume >= 1.2",S4-E1,,5,Medium,,"rules,future-s4",
Test,S4-2.T1,TEST: extreme IV rejects S4,"GIVEN signed_flow_score=0.80 BUT iv_percentile=85, WHEN evaluated, THEN False.",,S4-2,,Medium,,tests,
Test,S4-2.T2,TEST: flow opposite of price rejects,"GIVEN signed_flow_score=+0.70 BUT 30m return = -0.8 ATR, WHEN evaluated, THEN False with 'flow_price_mismatch'.",,S4-2,,Medium,,tests,
Story,S4-3,S4 scanner — every 5 minutes on top-200,"AS a developer
I WANT S4 scanner every 5 min on top-200 names
SO THAT flow accumulation gets caught early.

ACCEPTANCE CRITERIA:
- Top-200 universe
- Every 5 min during market hours
- Persist to redis pre_staged_s4 (TTL 45 min)",S4-E1,,3,Medium,,"scanner,future-s4",
Story,S4-4,S4 trigger: scalp ignition or continuation in flow direction,"AS a developer
I WANT S4 entry triggered on either SURGE/TANK_IGNITION or _CONTINUATION matching flow direction
SO THAT entry timing is microstructure-validated.

ACCEPTANCE CRITERIA:
- Subscribe to scalp.price_trigger
- Long flow: trigger on SURGE_IGNITION OR SURGE_CONTINUATION
- Short flow: trigger on TANK_IGNITION OR TANK_CONTINUATION
- Reject if scalp state contradicts flow
- Apply fake-breakout reject (SWING-4)",S4-E1,,3,Medium,,"rules,future-s4",
